,Name, StationType, MeanAvgTemperature,yyyy-mm-dd
0,MT WILSON CBS, COOP,43.7,2013-01-01
1,VAN NUYS AP, WBAN,53.0,2013-01-01
2,CAMARILLO AP, WBAN,55.7,2013-01-01
3,OXNARD VENTURA COUNTY AP, WBAN,53.9,2013-01-01
4,PARKER RESRVOIR, COOP,47.4,2013-01-01
5,BIG BEAR LAKE, COOP,32.5,2013-01-01
6,SANTA BARBARA MUNI AP, WBAN,50.9,2013-01-01
7,IMPERIAL, COOP,50.1,2013-01-01
8,EL CAPITAN DAM, COOP,51.3,2013-01-01
9,POWAY VALLEY, COOP,52.8,2013-01-01
10,JULIAN CDF, COOP,42.6,2013-01-01
11,CARLSBAD MCCLELLAN PALOMAR AP, WBAN,55.1,2013-01-01
12,HENSHAW DAM, COOP,42.3,2013-01-01
13,VISTA, COOP,54.5,2013-01-01
14,OCEANSIDE MARINA, COOP,52.6,2013-01-01
15,BORREGO DESERT PARK, COOP,53.2,2013-01-01
16,PALOMAR MTN OBSERVATORY, COOP,40.6,2013-01-01
17,MECCA FIRE STATION, COOP,54.6,2013-01-01
18,BLYTHE ASOS, WBAN,52.5,2013-01-01
19,DESERT RESORTS REGIONAL AP, WBAN,52.1,2013-01-01
20,CULVER CITY, COOP,55.9,2013-01-01
21,SANTA MONICA MUNICIPAL AP, WBAN,56.1,2013-01-01
22,SANTA MONICA PIER, COOP,57.4,2013-01-01
23,ONTARIO INTL AP, WBAN,53.4,2013-01-01
24,POMONA/FAIRPLEX, COOP,53.4,2013-01-01
25,U C L A, COOP,58.4,2013-01-01
26,IRON MOUNTAIN, COOP,55.2,2013-01-01
27,TWENTYNINE PALMS, COOP,49.5,2013-01-01
28,JOSHUA TREE, COOP,45.1,2013-01-01
29,SAN GABRIEL FIRE DEPT, COOP,55.3,2013-01-01
30,POINT MUGU NF, WBAN,56.4,2013-01-01
31,SAN GABRIEL CANYON PH, COOP,57.4,2013-01-01
32,WOODLAND HILLS PIERCE COLLEGE, COOP,54.4,2013-01-01
33,KETTLEMAN CITY, COOP,44.1,2013-01-01
34,HAIWEE, COOP,43.3,2013-01-01
35,CORCORAN IRRIGATION DIST., COOP,44.2,2013-01-01
36,KING CITY, COOP,48.5,2013-01-01
37,LINDSAY, COOP,45.3,2013-01-01
38,BIG SUR STATION, COOP,49.6,2013-01-01
39,VISALIA, COOP,43.9,2013-01-01
40,FIVE POINTS 5 SSW, COOP,45.7,2013-01-01
41,ASH MOUNTAIN, COOP,46.7,2013-01-01
42,MOJAVE, COOP,40.2,2013-01-01
43,PISMO BEACH, COOP,52.5,2013-01-01
44,BAKER, WBAN,45.0,2013-01-01
45,SALINAS DAM, COOP,45.9,2013-01-01
46,RANDSBURG, COOP,41.8,2013-01-01
47,SANTA MARGARITA BOOST, COOP,46.8,2013-01-01
48,MORRO BAY FIRE DEPT, COOP,54.0,2013-01-01
49,BAKERSFIELD AP, WBAN,46.7,2013-01-01
50,BUTTONWILLOW, COOP,45.5,2013-01-01
51,GLENNVILLE, COOP,39.7,2013-01-01
52,TRONA, COOP,42.3,2013-01-01
53,DELANO, COOP,46.2,2013-01-01
54,ELSINORE, COOP,52.8,2013-01-01
55,SANTA ANA JOHN WAYNE AP, WBAN,54.9,2013-01-01
56,HAYFIELD PUMPING PLANT, COOP,51.1,2013-01-01
57,IDYLLWILD FIRE DEPT, COOP,40.7,2013-01-01
58,SAN JACINTO RS, COOP,50.7,2013-01-01
59,HEMET, COOP,52.7,2013-01-01
60,SANTA ANA FIRE STATION, COOP,56.7,2013-01-01
61,EAGLE MOUNTAIN, COOP,51.7,2013-01-01
62,PALM SPRINGS, COOP,56.2,2013-01-01
63,LONG BEACH DAUGHERTY AP, WBAN,55.5,2013-01-01
64,FULLERTON MUNICIPAL AP, WBAN,57.4,2013-01-01
65,MARCH AFB, WBAN,48.0,2013-01-01
66,HAWTHORNE MUNICIPAL AP, WBAN,56.9,2013-01-01
67,LOS ANGELES INTL AP, WBAN,56.5,2013-01-01
68,RIVERSIDE FIRE STATION 3, COOP,55.0,2013-01-01
69,RIVERSIDE MUNICIPAL AP, WBAN,54.2,2013-01-01
70,CHINO AP, WBAN,50.7,2013-01-01
71,VICTORVILLE, COOP,42.2,2013-01-01
72,GIBRALTAR DAM NO. 2, COOP,47.6,2013-01-01
73,AMBOY, COOP,48.4,2013-01-01
74,PALMDALE, COOP,44.9,2013-01-01
75,SAUGUS POWER PLANT 1, COOP,48.1,2013-01-01
76,CACHUMA LAKE, COOP,48.9,2013-01-01
77,SALSIPUEDES GAGING STATION, COOP,45.7,2013-01-01
78,PALMDALE AP, WBAN,41.7,2013-01-01
79,LOMPOC, COOP,51.4,2013-01-01
80,LANCASTER, WBAN,40.2,2013-01-01
81,SANDBERG, WBAN,43.1,2013-01-01
82,LEBEC, WBAN,40.9,2013-01-01
83,NEW CUYAMA FIRE STATION, COOP,45.3,2013-01-01
84,TWITCHELL DAM, COOP,52.7,2013-01-01
85,AUBERRY 2 NW, COOP,44.3,2013-01-01
86,LOS BANOS, COOP,45.6,2013-01-01
87,BEN LOMOND NO. 4, COOP,49.6,2013-01-01
88,MORGAN HILL, COOP,,2013-01-01
89,NORTH FORK RS, COOP,44.0,2013-01-01
90,LOS GATOS, COOP,45.4,2013-01-01
91,NEWMAN, COOP,46.2,2013-01-01
92,MOUNT HAMILTON, WBAN,43.5,2013-01-01
93,BISHOP AP, WBAN,38.1,2013-01-01
94,MOFFETT FEDERAL AIRFIELD, WBAN,48.0,2013-01-01
95,WOODSIDE FIRE STATION 1, COOP,48.5,2013-01-01
96,PALO ALTO, COOP,44.3,2013-01-01
97,REDWOOD CITY, COOP,47.9,2013-01-01
98,HALF MOON BAY, COOP,50.8,2013-01-01
99,PACIFIC HOUSE, COOP,32.9,2013-01-01
100,CLOVERDALE, COOP,47.8,2013-01-01
101,SOUTH LAKE TAHOE AP, WBAN,25.8,2013-01-01
102,GEORGETOWN RS, COOP,43.1,2013-01-01
103,AUBURN, COOP,46.4,2013-01-01
104,CLEARLAKE 4 SE, COOP,40.9,2013-01-01
105,MARYSVILLE YUBA COUNTY AP, WBAN,44.0,2013-01-01
106,UKIAH MUNICIPAL AP, WBAN,44.5,2013-01-01
107,THREE RIVERS EDISON PH 1, COOP,44.2,2013-01-01
108,PINNACLES NM, COOP,45.3,2013-01-01
109,CARMEL VALLEY, COOP,50.1,2013-01-01
110,LODGEPOLE, COOP,23.7,2013-01-01
111,MONTEREY, COOP,51.0,2013-01-01
112,SALINAS NO. 2, COOP,50.8,2013-01-01
113,SALINAS AP, WBAN,49.8,2013-01-01
114,GRANT GROVE, COOP,33.2,2013-01-01
115,PINE FLAT DAM, COOP,46.1,2013-01-01
116,HOLLISTER 2, COOP,46.4,2013-01-01
117,BALCH POWER HOUSE, COOP,43.4,2013-01-01
118,WATSONVILLE WATERWORKS, COOP,49.4,2013-01-01
119,FRIANT GOVERNMENT CAMP, COOP,45.6,2013-01-01
120,MADERA, COOP,47.2,2013-01-01
121,GILROY, COOP,47.7,2013-01-01
122,RICHMOND, COOP,50.3,2013-01-01
123,MUIR WOODS, COOP,50.1,2013-01-01
124,SONORA, COOP,41.4,2013-01-01
125,ANTIOCH PUMPING PLANT #3, COOP,46.7,2013-01-01
126,CONCORD BUCHANAN FIELD, WBAN,44.5,2013-01-01
127,CONCORD WASTEWATER PLANT, COOP,46.4,2013-01-01
128,SAN RAFAEL-CIVIC CENTER, COOP,45.4,2013-01-01
129,KENTFIELD, COOP,47.5,2013-01-01
130,MARTINEZ WATER PLANT, COOP,44.5,2013-01-01
131,BODIE CALIFORNIA STATE HISTORIC PARK, COOP,19.0,2013-01-01
132,NAPA COUNTY AIRPORT, WBAN,44.8,2013-01-01
133,BRIDGEPORT, COOP,13.8,2013-01-01
134,TRAVIS FIELD AFB, WBAN,45.0,2013-01-01
135,FAIRFIELD, COOP,46.9,2013-01-01
136,SO ENTRANCE YOSEMITE N.P., COOP,31.8,2013-01-01
137,NEWARK, COOP,48.1,2013-01-01
138,MODESTO CITY COUNTY AP, WBAN,44.8,2013-01-01
139,HAYWARD AIR TERMINAL, WBAN,47.4,2013-01-01
140,TRACY CARBONA, COOP,43.8,2013-01-01
141,LIVERMORE MUNICIPAL AP, WBAN,44.8,2013-01-01
142,OAKLAND METROPOLITAN INTL AP, WBAN,48.1,2013-01-01
143,SAN FRANCISCO DOWNTOWN, WBAN,50.8,2013-01-01
144,SAN FRANCISCO OCEANSIDE, COOP,47.4,2013-01-01
145,GROVELAND 2, COOP,38.5,2013-01-01
146,TRACY PUMPING PLANT, COOP,45.6,2013-01-01
147,OAKLAND MUSEUM, COOP,50.9,2013-01-01
148,TUOLUMNE MEADOWS R.S., COOP,22.3,2013-01-01
149,MOUNT DIABLO JUNCTION, COOP,46.4,2013-01-01
150,STOCKTON METROPOLITAN AP, WBAN,43.9,2013-01-01
151,SONOMA, COOP,45.4,2013-01-01
152,SUTTER HILL CDF, COOP,44.6,2013-01-01
153,GRATON, COOP,45.1,2013-01-01
154,OCCIDENTAL, COOP,46.5,2013-01-01
155,SACRAMENTO EXECUTIVE AP, WBAN,44.1,2013-01-01
156,WINTERS, WBAN,44.8,2013-01-01
157,LAKE SOLANO, COOP,45.0,2013-01-01
158,SAINT HELENA, COOP,48.0,2013-01-01
159,FORT ROSS, COOP,48.7,2013-01-01
160,SACRAMENTO 5ESE, WBAN,46.6,2013-01-01
161,ANGWIN PACIFIC UNION COLLEGE, COOP,45.4,2013-01-01
162,CALISTOGA, COOP,45.7,2013-01-01
163,WOODLAND 1 WNW, COOP,45.0,2013-01-01
164,PLACERVILLE IFG, COOP,43.7,2013-01-01
165,SACRAMENTO METROPOLITAN AP, WBAN,44.0,2013-01-01
166,PARADISE, COOP,47.5,2013-01-01
167,COVELO, COOP,41.7,2013-01-01
168,VINTON, COOP,30.7,2013-01-01
169,PORTOLA, COOP,21.8,2013-01-01
170,DOYLE 4 SSE, COOP,22.3,2013-01-01
171,CHESTER, COOP,26.0,2013-01-01
172,MINERAL, COOP,31.4,2013-01-01
173,GRASS VALLEY NO. 2, COOP,41.2,2013-01-01
174,BLUE CANYON AP, WBAN,41.9,2013-01-01
175,NEVADA CITY, COOP,40.5,2013-01-01
176,TRUCKEE AIRPORT, WBAN,19.2,2013-01-01
177,DONNER MEMORIAL ST PARK, COOP,23.0,2013-01-01
178,BOCA, COOP,19.7,2013-01-01
179,POTTER VALLEY POWERHOUSE, COOP,43.4,2013-01-01
180,OROVILLE, COOP,45.3,2013-01-01
181,OROVILLE MUNICIPAL AP, WBAN,43.9,2013-01-01
182,SIERRAVILLE RS, COOP,21.1,2013-01-01
183,STRAWBERRY VALLEY, COOP,39.6,2013-01-01
184,STONY GORGE RESERVOIR, COOP,43.8,2013-01-01
